domain,algorithm,depth,trial,seed,node_expansions,solution_length,depth_capped,solved,retained_sum,internal_nodes,runtime_ms
GameTree,MiniMax,4,1,801,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,1,801,185,5,false,true,132,52,0
GameTree,MiniMax,4,2,802,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,2,802,165,5,false,true,118,46,0
GameTree,MiniMax,4,3,803,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,3,803,158,5,false,true,109,48,0
GameTree,MiniMax,4,4,804,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,4,804,109,5,false,true,73,35,0
GameTree,MiniMax,4,5,805,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,5,805,160,5,false,true,109,50,0
GameTree,MiniMax,4,6,806,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,6,806,141,5,false,true,96,44,0
GameTree,MiniMax,4,7,807,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,7,807,121,5,false,true,81,39,0
GameTree,MiniMax,4,8,808,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,8,808,159,5,false,true,115,43,0
GameTree,MiniMax,4,9,809,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,9,809,169,5,false,true,117,51,0
GameTree,MiniMax,4,10,810,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,10,810,170,5,false,true,119,50,0
GameTree,MiniMax,4,11,811,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,11,811,154,5,false,true,107,46,0
GameTree,MiniMax,4,12,812,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,12,812,122,5,false,true,80,41,0
GameTree,MiniMax,4,13,813,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,13,813,182,5,false,true,124,57,0
GameTree,MiniMax,4,14,814,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,14,814,177,5,false,true,124,52,0
GameTree,MiniMax,4,15,815,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,15,815,153,5,false,true,104,48,0
GameTree,MiniMax,4,16,816,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,16,816,191,5,false,true,134,56,0
GameTree,MiniMax,4,17,817,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,17,817,89,5,false,true,58,30,0
GameTree,MiniMax,4,18,818,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,18,818,130,5,false,true,91,38,0
GameTree,MiniMax,4,19,819,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,19,819,148,5,false,true,102,45,0
GameTree,MiniMax,4,20,820,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,20,820,139,5,false,true,92,46,0
GameTree,MiniMax,4,21,821,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,21,821,185,5,false,true,131,53,0
GameTree,MiniMax,4,22,822,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,22,822,129,5,false,true,89,39,0
GameTree,MiniMax,4,23,823,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,23,823,118,5,false,true,80,37,0
GameTree,MiniMax,4,24,824,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,24,824,180,5,false,true,123,56,0
GameTree,MiniMax,4,25,825,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,25,825,186,5,false,true,128,57,0
GameTree,MiniMax,4,26,826,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,26,826,163,5,false,true,117,45,0
GameTree,MiniMax,4,27,827,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,27,827,129,5,false,true,89,39,0
GameTree,MiniMax,4,28,828,341,5,false,true,340,85,0
GameTree,AlphaBeta,4,28,828,139,5,false,true,98,40,0
