domain,algorithm,depth,trial,seed,node_expansions,path_length,solved,capped,path_cost,runtime_ms
Grid,BFS,4,1,401,218,31,true,false,167,0
Grid,BFS,4,2,402,228,31,true,false,162,0
Grid,BFS,4,3,403,227,31,true,false,151,0
Grid,BFS,4,4,404,227,31,true,false,171,0
Grid,BFS,4,5,405,221,31,true,false,152,0
Grid,BFS,4,6,406,234,31,true,false,159,0
Grid,BFS,4,7,407,220,31,true,false,199,0
Grid,BFS,4,8,408,221,31,true,false,181,0
Grid,BFS,4,9,409,207,31,true,false,170,1
Grid,BFS,4,10,410,218,31,true,false,157,0
Grid,BFS,4,11,411,222,31,true,false,177,0
Grid,BFS,4,12,412,226,31,true,false,135,0
Grid,BFS,4,13,413,222,31,true,false,148,0
Grid,BFS,4,14,414,219,31,true,false,163,0
Grid,BFS,4,15,415,224,31,true,false,183,0
Grid,BFS,4,16,416,216,31,true,false,175,0
Grid,BFS,4,17,417,227,31,true,false,170,0
Grid,BFS,4,18,418,222,31,true,false,144,0
Grid,BFS,4,19,419,223,31,true,false,190,1
Grid,BFS,4,20,420,229,31,true,false,185,0
Grid,BFS,4,21,421,219,31,true,false,158,0
Grid,BFS,4,22,422,230,31,true,false,181,0
Grid,BFS,4,23,423,218,31,true,false,171,0
Grid,BFS,4,24,424,229,31,true,false,175,0
Grid,BFS,4,25,425,216,31,true,false,189,0
Grid,BFS,4,26,426,220,31,true,false,160,0
Grid,BFS,4,27,427,224,31,true,false,158,0
Grid,BFS,4,28,428,222,31,true,false,170,0
Grid,BFS,4,29,429,217,31,true,false,191,0
Grid,BFS,4,30,430,221,31,true,false,143,0
Grid,Dijkstra,4,1,401,213,31,true,false,102,0
Grid,Dijkstra,4,2,402,228,31,true,false,133,0
Grid,Dijkstra,4,3,403,223,31,true,false,111,0
Grid,Dijkstra,4,4,404,225,31,true,false,116,0
Grid,Dijkstra,4,5,405,210,31,true,false,117,0
Grid,Dijkstra,4,6,406,234,31,true,false,122,0
Grid,Dijkstra,4,7,407,220,31,true,false,128,0
Grid,Dijkstra,4,8,408,221,31,true,false,100,0
Grid,Dijkstra,4,9,409,201,31,true,false,124,0
Grid,Dijkstra,4,10,410,218,31,true,false,111,0
Grid,Dijkstra,4,11,411,222,31,true,false,141,0
Grid,Dijkstra,4,12,412,222,31,true,false,108,0
Grid,Dijkstra,4,13,413,222,31,true,false,136,0
Grid,Dijkstra,4,14,414,217,33,true,false,122,0
Grid,Dijkstra,4,15,415,224,31,true,false,116,0
Grid,Dijkstra,4,16,416,216,33,true,false,111,0
Grid,Dijkstra,4,17,417,226,31,true,false,129,0
Grid,Dijkstra,4,18,418,222,31,true,false,110,0
Grid,Dijkstra,4,19,419,223,31,true,false,125,0
Grid,Dijkstra,4,20,420,228,31,true,false,114,0
Grid,Dijkstra,4,21,421,217,31,true,false,113,0
Grid,Dijkstra,4,22,422,223,31,true,false,112,0
Grid,Dijkstra,4,23,423,218,31,true,false,130,0
Grid,Dijkstra,4,24,424,229,31,true,false,134,0
Grid,Dijkstra,4,25,425,208,33,true,false,104,0
Grid,Dijkstra,4,26,426,219,33,true,false,118,0
Grid,Dijkstra,4,27,427,218,31,true,false,113,0
Grid,Dijkstra,4,28,428,221,33,true,false,111,0
Grid,Dijkstra,4,29,429,215,31,true,false,133,0
Grid,Dijkstra,4,30,430,219,31,true,false,119,0
Grid,A*,4,1,401,209,31,true,false,102,0
Grid,A*,4,2,402,228,31,true,false,133,0
Grid,A*,4,3,403,219,31,true,false,111,0
Grid,A*,4,4,404,224,31,true,false,116,0
Grid,A*,4,5,405,204,31,true,false,117,0
Grid,A*,4,6,406,234,31,true,false,122,0
Grid,A*,4,7,407,220,31,true,false,128,0
Grid,A*,4,8,408,220,31,true,false,100,0
Grid,A*,4,9,409,188,31,true,false,124,0
Grid,A*,4,10,410,218,31,true,false,111,0
Grid,A*,4,11,411,221,31,true,false,141,0
Grid,A*,4,12,412,212,31,true,false,108,0
Grid,A*,4,13,413,222,31,true,false,136,0
Grid,A*,4,14,414,216,33,true,false,122,0
Grid,A*,4,15,415,223,31,true,false,116,0
Grid,A*,4,16,416,216,33,true,false,111,0
Grid,A*,4,17,417,226,31,true,false,129,0
Grid,A*,4,18,418,221,31,true,false,110,0
Grid,A*,4,19,419,222,31,true,false,125,0
Grid,A*,4,20,420,218,31,true,false,114,0
Grid,A*,4,21,421,207,31,true,false,113,0
Grid,A*,4,22,422,219,31,true,false,112,0
Grid,A*,4,23,423,218,31,true,false,130,0
Grid,A*,4,24,424,228,31,true,false,134,0
Grid,A*,4,25,425,189,33,true,false,104,0
Grid,A*,4,26,426,216,33,true,false,118,0
Grid,A*,4,27,427,211,31,true,false,113,0
Grid,A*,4,28,428,221,33,true,false,111,0
Grid,A*,4,29,429,215,31,true,false,133,0
Grid,A*,4,30,430,213,31,true,false,119,0
Grid,WA*(1.5),4,1,401,199,31,true,false,102,0
Grid,WA*(1.5),4,2,402,228,31,true,false,133,0
Grid,WA*(1.5),4,3,403,211,31,true,false,111,0
Grid,WA*(1.5),4,4,404,222,31,true,false,116,0
Grid,WA*(1.5),4,5,405,201,31,true,false,117,0
Grid,WA*(1.5),4,6,406,233,31,true,false,122,0
Grid,WA*(1.5),4,7,407,220,31,true,false,128,0
Grid,WA*(1.5),4,8,408,212,31,true,false,100,0
Grid,WA*(1.5),4,9,409,176,31,true,false,124,0
Grid,WA*(1.5),4,10,410,218,31,true,false,111,0
Grid,WA*(1.5),4,11,411,214,31,true,false,141,0
Grid,WA*(1.5),4,12,412,197,31,true,false,108,0
Grid,WA*(1.5),4,13,413,221,31,true,false,136,0
Grid,WA*(1.5),4,14,414,215,33,true,false,122,0
Grid,WA*(1.5),4,15,415,223,31,true,false,116,0
Grid,WA*(1.5),4,16,416,212,33,true,false,111,0
