domain,algorithm,depth,trial,seed,node_expansions,path_length,solved,solved_agents,total_agents,runtime_ms
MAPF,PrioritisedPlanning,4,1,1201,25,14,true,2,2,0
MAPF,PrioritisedPlanning,4,2,1202,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,3,1203,25,14,true,2,2,0
MAPF,PrioritisedPlanning,4,4,1204,30,14,true,2,2,0
MAPF,PrioritisedPlanning,4,5,1205,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,6,1206,27,14,true,2,2,0
MAPF,PrioritisedPlanning,4,7,1207,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,8,1208,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,9,1209,22,14,true,2,2,0
MAPF,PrioritisedPlanning,4,10,1210,27,14,true,2,2,0
MAPF,PrioritisedPlanning,4,11,1211,30,16,true,2,2,0
MAPF,PrioritisedPlanning,4,12,1212,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,13,1213,45,16,true,2,2,0
MAPF,PrioritisedPlanning,4,14,1214,25,14,true,2,2,0
MAPF,PrioritisedPlanning,4,15,1215,54,16,true,2,2,0
MAPF,PrioritisedPlanning,4,16,1216,23,14,true,2,2,0
MAPF,PrioritisedPlanning,4,17,1217,24,14,true,2,2,0
MAPF,PrioritisedPlanning,4,18,1218,27,14,true,2,2,0
MAPF,PrioritisedPlanning,4,19,1219,30,14,true,2,2,0
MAPF,PrioritisedPlanning,4,20,1220,37,16,true,2,2,0
MAPF,PrioritisedPlanning,4,21,1221,42,16,true,2,2,0
MAPF,PrioritisedPlanning,4,22,1222,27,14,true,2,2,0
MAPF,PrioritisedPlanning,4,23,1223,29,14,true,2,2,0
MAPF,PrioritisedPlanning,4,24,1224,30,14,true,2,2,0
MAPF,PrioritisedPlanning,4,25,1225,29,14,true,2,2,0
MAPF,PrioritisedPlanning,4,26,1226,25,14,true,2,2,0
MAPF,PrioritisedPlanning,4,27,1227,25,14,true,2,2,0
MAPF,PrioritisedPlanning,4,28,1228,23,14,true,2,2,0
MAPF,PrioritisedPlanning,4,29,1229,26,14,true,2,2,0
MAPF,PrioritisedPlanning,4,30,1230,23,14,true,2,2,0
MAPF,PrioritisedPlanning,6,1,1801,34,17,true,2,2,0
MAPF,PrioritisedPlanning,6,2,1802,44,19,true,2,2,0
MAPF,PrioritisedPlanning,6,3,1803,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,4,1804,36,17,true,2,2,0
MAPF,PrioritisedPlanning,6,5,1805,29,17,true,2,2,0
MAPF,PrioritisedPlanning,6,6,1806,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,7,1807,35,17,true,2,2,0
MAPF,PrioritisedPlanning,6,8,1808,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,9,1809,25,17,true,2,2,0
MAPF,PrioritisedPlanning,6,10,1810,37,17,true,2,2,0
MAPF,PrioritisedPlanning,6,11,1811,33,17,true,2,2,0
MAPF,PrioritisedPlanning,6,12,1812,33,17,true,2,2,0
MAPF,PrioritisedPlanning,6,13,1813,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,14,1814,34,17,true,2,2,0
MAPF,PrioritisedPlanning,6,15,1815,31,17,true,2,2,0
MAPF,PrioritisedPlanning,6,16,1816,79,9,false,1,2,0
MAPF,PrioritisedPlanning,6,17,1817,29,17,true,2,2,0
MAPF,PrioritisedPlanning,6,18,1818,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,19,1819,37,17,true,2,2,0
MAPF,PrioritisedPlanning,6,20,1820,37,17,true,2,2,0
MAPF,PrioritisedPlanning,6,21,1821,34,17,true,2,2,0
MAPF,PrioritisedPlanning,6,22,1822,33,17,true,2,2,0
MAPF,PrioritisedPlanning,6,23,1823,38,17,true,2,2,0
MAPF,PrioritisedPlanning,6,24,1824,34,17,true,2,2,0
MAPF,PrioritisedPlanning,6,25,1825,32,17,true,2,2,0
MAPF,PrioritisedPlanning,6,26,1826,33,17,true,2,2,0
MAPF,PrioritisedPlanning,6,27,1827,36,17,true,2,2,0
MAPF,PrioritisedPlanning,6,28,1828,36,17,true,2,2,0
MAPF,PrioritisedPlanning,6,29,1829,43,18,true,2,2,0
MAPF,PrioritisedPlanning,6,30,1830,33,17,true,2,2,0
MAPF,PrioritisedPlanning,8,1,2401,77,34,true,3,3,0
MAPF,PrioritisedPlanning,8,2,2402,84,34,true,3,3,0
MAPF,PrioritisedPlanning,8,3,2403,84,34,true,3,3,0
MAPF,PrioritisedPlanning,8,4,2404,81,34,true,3,3,0
MAPF,PrioritisedPlanning,8,5,2405,80,34,true,3,3,0
MAPF,PrioritisedPlanning,8,6,2406,86,34,true,3,3,0
MAPF,PrioritisedPlanning,8,7,2407,78,34,true,3,3,0
MAPF,PrioritisedPlanning,8,8,2408,84,34,true,3,3,0
MAPF,PrioritisedPlanning,8,9,2409,82,34,true,3,3,0
MAPF,PrioritisedPlanning,8,10,2410,81,34,true,3,3,0
MAPF,PrioritisedPlanning,8,11,2411,77,34,true,3,3,0
MAPF,PrioritisedPlanning,8,12,2412,125,36,true,3,3,0
MAPF,PrioritisedPlanning,8,13,2413,69,34,true,3,3,0
MAPF,PrioritisedPlanning,8,14,2414,81,34,true,3,3,0
MAPF,PrioritisedPlanning,8,15,2415,84,34,true,3,3,0
MAPF,PrioritisedPlanning,8,16,2416,85,34,true,3,3,0
MAPF,PrioritisedPlanning,8,17,2417,82,34,true,3,3,0
MAPF,PrioritisedPlanning,8,18,2418,94,34,true,3,3,0
MAPF,PrioritisedPlanning,8,19,2419,63,34,true,3,3,0
MAPF,PrioritisedPlanning,8,20,2420,81,34,true,3,3,0
MAPF,PrioritisedPlanning,8,21,2421,73,34,true,3,3,0
MAPF,PrioritisedPlanning,8,22,2422,88,34,true,3,3,0
MAPF,PrioritisedPlanning,8,23,2423,88,34,true,3,3,0
MAPF,PrioritisedPlanning,8,24,2424,78,34,true,3,3,0
MAPF,PrioritisedPlanning,8,25,2425,81,34,true,3,3,0
MAPF,PrioritisedPlanning,8,26,2426,73,34,true,3,3,0
MAPF,PrioritisedPlanning,8,27,2427,71,34,true,3,3,0
MAPF,PrioritisedPlanning,8,28,2428,157,36,true,3,3,0
MAPF,PrioritisedPlanning,8,29,2429,72,34,true,3,3,0
MAPF,PrioritisedPlanning,8,30,2430,82,34,true,3,3,0
MAPF,PrioritisedPlanning,10,1,3001,114,43,true,3,3,0
MAPF,PrioritisedPlanning,10,2,3002,106,43,true,3,3,0
MAPF,PrioritisedPlanning,10,3,3003,120,43,true,3,3,0
MAPF,PrioritisedPlanning,10,4,3004,104,43,true,3,3,0
MAPF,PrioritisedPlanning,10,5,3005,122,43,true,3,3,0
