domain,algorithm,depth,trial,seed,comparisons,pattern_length,solved,runtime_ms
PatternMatch,Naive,4,1,1601,535,12,true,0
PatternMatch,Naive,4,2,1602,570,12,true,0
PatternMatch,Naive,4,3,1603,586,12,true,0
PatternMatch,Naive,4,4,1604,562,12,true,0
PatternMatch,Naive,4,5,1605,587,12,true,0
PatternMatch,Naive,4,6,1606,574,12,true,0
PatternMatch,Naive,4,7,1607,555,12,true,0
PatternMatch,Naive,4,8,1608,584,12,true,0
PatternMatch,Naive,4,9,1609,594,12,true,0
PatternMatch,Naive,4,10,1610,580,12,true,0
PatternMatch,Naive,4,11,1611,574,12,true,0
PatternMatch,Naive,4,12,1612,592,12,true,0
PatternMatch,Naive,4,13,1613,593,12,true,0
PatternMatch,Naive,4,14,1614,564,12,true,0
PatternMatch,Naive,4,15,1615,566,12,true,0
PatternMatch,Naive,4,16,1616,578,12,true,0
PatternMatch,Naive,4,17,1617,577,12,true,0
PatternMatch,Naive,4,18,1618,576,12,true,0
PatternMatch,Naive,4,19,1619,581,12,true,0
PatternMatch,Naive,4,20,1620,593,12,true,0
PatternMatch,Naive,4,21,1621,593,12,true,0
PatternMatch,Naive,4,22,1622,593,12,true,0
PatternMatch,Naive,4,23,1623,583,12,true,0
PatternMatch,Naive,4,24,1624,580,12,true,0
PatternMatch,Naive,4,25,1625,580,12,true,0
PatternMatch,Naive,4,26,1626,602,12,true,0
PatternMatch,Naive,4,27,1627,600,12,true,0
PatternMatch,Naive,4,28,1628,606,12,true,0
PatternMatch,Naive,4,29,1629,599,12,true,0
PatternMatch,Naive,4,30,1630,605,12,true,0
PatternMatch,KMP,4,1,1601,558,12,true,0
PatternMatch,KMP,4,2,1602,593,12,true,0
PatternMatch,KMP,4,3,1603,601,12,true,0
PatternMatch,KMP,4,4,1604,587,12,true,0
PatternMatch,KMP,4,5,1605,612,12,true,0
PatternMatch,KMP,4,6,1606,596,12,true,0
PatternMatch,KMP,4,7,1607,578,12,true,0
PatternMatch,KMP,4,8,1608,607,12,true,0
PatternMatch,KMP,4,9,1609,612,12,true,0
PatternMatch,KMP,4,10,1610,602,12,true,0
PatternMatch,KMP,4,11,1611,599,12,true,0
PatternMatch,KMP,4,12,1612,618,12,true,0
PatternMatch,KMP,4,13,1613,613,12,true,0
PatternMatch,KMP,4,14,1614,588,12,true,0
PatternMatch,KMP,4,15,1615,592,12,true,0
PatternMatch,KMP,4,16,1616,602,12,true,0
PatternMatch,KMP,4,17,1617,605,12,true,0
PatternMatch,KMP,4,18,1618,600,12,true,0
PatternMatch,KMP,4,19,1619,605,12,true,0
PatternMatch,KMP,4,20,1620,610,12,true,0
PatternMatch,KMP,4,21,1621,617,12,true,0
PatternMatch,KMP,4,22,1622,615,12,true,0
PatternMatch,KMP,4,23,1623,608,12,true,0
PatternMatch,KMP,4,24,1624,601,12,true,0
PatternMatch,KMP,4,25,1625,600,12,true,0
PatternMatch,KMP,4,26,1626,627,12,true,0
PatternMatch,KMP,4,27,1627,624,12,true,0
PatternMatch,KMP,4,28,1628,629,12,true,0
PatternMatch,KMP,4,29,1629,617,12,true,0
PatternMatch,KMP,4,30,1630,629,12,true,0
PatternMatch,IDDFS,4,1,1601,17342,12,true,0
PatternMatch,IDDFS,4,2,1602,17314,12,true,0
PatternMatch,IDDFS,4,3,1603,17619,12,true,0
PatternMatch,IDDFS,4,4,1604,17480,12,true,0
PatternMatch,IDDFS,4,5,1605,17574,12,true,0
PatternMatch,IDDFS,4,6,1606,17609,12,true,0
PatternMatch,IDDFS,4,7,1607,17369,12,true,0
PatternMatch,IDDFS,4,8,1608,17399,12,true,0
PatternMatch,IDDFS,4,9,1609,17733,12,true,0
PatternMatch,IDDFS,4,10,1610,17306,12,true,0
PatternMatch,IDDFS,4,11,1611,17291,12,true,0
PatternMatch,IDDFS,4,12,1612,18088,12,true,0
PatternMatch,IDDFS,4,13,1613,17748,12,true,0
PatternMatch,IDDFS,4,14,1614,17740,12,true,0
PatternMatch,IDDFS,4,15,1615,17683,12,true,0
PatternMatch,IDDFS,4,16,1616,17532,12,true,0
PatternMatch,IDDFS,4,17,1617,17237,12,true,0
PatternMatch,IDDFS,4,18,1618,17308,12,true,0
PatternMatch,IDDFS,4,19,1619,17769,12,true,0
PatternMatch,IDDFS,4,20,1620,17450,12,true,0
PatternMatch,IDDFS,4,21,1621,17354,12,true,0
PatternMatch,IDDFS,4,22,1622,17575,12,true,0
PatternMatch,IDDFS,4,23,1623,17443,12,true,0
PatternMatch,IDDFS,4,24,1624,17240,12,true,0
PatternMatch,IDDFS,4,25,1625,17505,12,true,0
PatternMatch,IDDFS,4,26,1626,17640,12,true,0
PatternMatch,IDDFS,4,27,1627,17437,12,true,0
PatternMatch,IDDFS,4,28,1628,17434,12,true,0
PatternMatch,IDDFS,4,29,1629,17723,12,true,0
PatternMatch,IDDFS,4,30,1630,17553,12,true,0
PatternMatch,Naive,6,1,2401,826,18,true,0
PatternMatch,Naive,6,2,2402,842,18,true,0
PatternMatch,Naive,6,3,2403,838,18,true,0
PatternMatch,Naive,6,4,2404,861,18,true,0
PatternMatch,Naive,6,5,2405,824,18,true,0
PatternMatch,Naive,6,6,2406,867,18,true,0
PatternMatch,Naive,6,7,2407,858,18,true,0
PatternMatch,Naive,6,8,2408,834,18,true,0
PatternMatch,Naive,6,9,2409,851,18,true,0
PatternMatch,Naive,6,10,2410,867,18,true,0
PatternMatch,Naive,6,11,2411,815,18,true,0
PatternMatch,Naive,6,12,2412,834,18,true,0
PatternMatch,Naive,6,13,2413,850,18,true,0
PatternMatch,Naive,6,14,2414,885,18,true,0
PatternMatch,Naive,6,15,2415,867,18,true,0
PatternMatch,Naive,6,16,2416,878,18,true,0
PatternMatch,Naive,6,17,2417,846,18,true,0
PatternMatch,Naive,6,18,2418,870,18,true,0
PatternMatch,Naive,6,19,2419,860,18,true,0
PatternMatch,Naive,6,20,2420,880,18,true,0
PatternMatch,Naive,6,21,2421,868,18,true,0
PatternMatch,Naive,6,22,2422,887,18,true,0
PatternMatch,Naive,6,23,2423,872,18,true,0
PatternMatch,Naive,6,24,2424,870,18,true,0
PatternMatch,Naive,6,25,2425,893,18,true,0
PatternMatch,Naive,6,26,2426,877,18,true,0
PatternMatch,Naive,6,27,2427,841,18,true,0
PatternMatch,Naive,6,28,2428,860,18,true,0
PatternMatch,Naive,6,29,2429,896,18,true,0
PatternMatch,Naive,6,30,2430,890,18,true,0
PatternMatch,KMP,6,1,2401,858,18,true,0
PatternMatch,KMP,6,2,2402,880,18,true,0
PatternMatch,KMP,6,3,2403,875,18,true,0
PatternMatch,KMP,6,4,2404,899,18,true,0
PatternMatch,KMP,6,5,2405,860,18,true,0
PatternMatch,KMP,6,6,2406,906,18,true,0
PatternMatch,KMP,6,7,2407,898,18,true,0
PatternMatch,KMP,6,8,2408,871,18,true,0
PatternMatch,KMP,6,9,2409,886,18,true,0
PatternMatch,KMP,6,10,2410,906,18,true,0
PatternMatch,KMP,6,11,2411,850,18,true,0
PatternMatch,KMP,6,12,2412,872,18,true,0
PatternMatch,KMP,6,13,2413,890,18,true,0
PatternMatch,KMP,6,14,2414,918,18,true,0
PatternMatch,KMP,6,15,2415,889,18,true,0
PatternMatch,KMP,6,16,2416,913,18,true,0
PatternMatch,KMP,6,17,2417,883,18,true,0
PatternMatch,KMP,6,18,2418,900,18,true,0
PatternMatch,KMP,6,19,2419,889,18,true,0
PatternMatch,KMP,6,20,2420,915,18,true,0
PatternMatch,KMP,6,21,2421,907,18,true,0
PatternMatch,KMP,6,22,2422,910,18,true,0
PatternMatch,KMP,6,23,2423,911,18,true,0
PatternMatch,KMP,6,24,2424,907,18,true,0
PatternMatch,KMP,6,25,2425,927,18,true,0
PatternMatch,KMP,6,26,2426,912,18,true,0
PatternMatch,KMP,6,27,2427,873,18,true,0
PatternMatch,KMP,6,28,2428,900,18,true,0
PatternMatch,KMP,6,29,2429,931,18,true,0
PatternMatch,KMP,6,30,2430,926,18,true,0
PatternMatch,IDDFS,6,1,2401,39673,18,true,0
PatternMatch,IDDFS,6,2,2402,40371,18,true,0
PatternMatch,IDDFS,6,3,2403,40163,18,true,0
PatternMatch,IDDFS,6,4,2404,41017,18,true,0
PatternMatch,IDDFS,6,5,2405,41114,18,true,0
PatternMatch,IDDFS,6,6,2406,40958,18,true,0
PatternMatch,IDDFS,6,7,2407,40839,18,true,0
PatternMatch,IDDFS,6,8,2408,40538,18,true,0
PatternMatch,IDDFS,6,9,2409,40368,18,true,0
PatternMatch,IDDFS,6,10,2410,40625,18,true,0
PatternMatch,IDDFS,6,11,2411,40103,18,true,0
PatternMatch,IDDFS,6,12,2412,40253,18,true,0
PatternMatch,IDDFS,6,13,2413,40193,18,true,0
PatternMatch,IDDFS,6,14,2414,41054,18,true,0
PatternMatch,IDDFS,6,15,2415,40112,18,true,0
PatternMatch,IDDFS,6,16,2416,40646,18,true,0
PatternMatch,IDDFS,6,17,2417,39844,18,true,0
PatternMatch,IDDFS,6,18,2418,40118,18,true,0
PatternMatch,IDDFS,6,19,2419,40111,18,true,0
PatternMatch,IDDFS,6,20,2420,40733,18,true,0
PatternMatch,IDDFS,6,21,2421,41253,18,true,0
PatternMatch,IDDFS,6,22,2422,40541,18,true,0
PatternMatch,IDDFS,6,23,2423,40965,18,true,0
PatternMatch,IDDFS,6,24,2424,40426,18,true,0
PatternMatch,IDDFS,6,25,2425,40926,18,true,0
PatternMatch,IDDFS,6,26,2426,40496,18,true,0
PatternMatch,IDDFS,6,27,2427,39596,18,true,0
PatternMatch,IDDFS,6,28,2428,39759,18,true,0
PatternMatch,IDDFS,6,29,2429,40686,18,true,0
PatternMatch,IDDFS,6,30,2430,40349,18,true,0
PatternMatch,Naive,8,1,3201,1124,24,true,0
PatternMatch,Naive,8,2,3202,1122,24,true,0
PatternMatch,Naive,8,3,3203,1113,24,true,0
PatternMatch,Naive,8,4,3204,1153,24,true,0
PatternMatch,Naive,8,5,3205,1153,24,true,0
PatternMatch,Naive,8,6,3206,1154,24,true,0
PatternMatch,Naive,8,7,3207,1140,24,true,0
PatternMatch,Naive,8,8,3208,1120,24,true,0
PatternMatch,Naive,8,9,3209,1165,24,true,0
PatternMatch,Naive,8,10,3210,1161,24,true,0
PatternMatch,Naive,8,11,3211,1152,24,true,0
PatternMatch,Naive,8,12,3212,1133,24,true,0
PatternMatch,Naive,8,13,3213,1160,24,true,0
PatternMatch,Naive,8,14,3214,1142,24,true,0
PatternMatch,Naive,8,15,3215,1121,24,true,0
PatternMatch,Naive,8,16,3216,1105,24,true,0
PatternMatch,Naive,8,17,3217,1134,24,true,0
PatternMatch,Naive,8,18,3218,1164,24,true,0
PatternMatch,Naive,8,19,3219,1140,24,true,0
PatternMatch,Naive,8,20,3220,1156,24,true,0
PatternMatch,Naive,8,21,3221,1158,24,true,0
PatternMatch,Naive,8,22,3222,1159,24,true,0
PatternMatch,Naive,8,23,3223,1127,24,true,0
PatternMatch,Naive,8,24,3224,1130,24,true,0
PatternMatch,Naive,8,25,3225,1143,24,true,0
PatternMatch,Naive,8,26,3226,1171,24,true,0
PatternMatch,Naive,8,27,3227,1143,24,true,0
PatternMatch,Naive,8,28,3228,1180,24,true,0
