domain,algorithm,depth,trials,mean_metric,std_metric,mean_u,solved_rate,metric_name
Grid,A*,4,30,216.600000,9.765927,31.333333,1.000000,node_expansions
Grid,A*,6,30,490.933333,14.059240,47.333333,1.000000,node_expansions
Grid,A*,8,30,874.466667,9.959027,63.400000,1.000000,node_expansions
Grid,A*,10,30,1361.200000,15.190787,79.933333,1.000000,node_expansions
Grid,A*,12,30,1965.133333,19.034588,96.133333,1.000000,node_expansions
Grid,BFS,4,30,222.233333,5.289507,31.000000,1.000000,node_expansions
Grid,BFS,6,30,497.266667,8.992342,47.000000,1.000000,node_expansions
Grid,BFS,8,30,878.800000,9.148406,63.000000,1.000000,node_expansions
Grid,BFS,10,30,1367.266667,12.513815,79.000000,1.000000,node_expansions
Grid,BFS,12,30,1970.200000,17.259587,95.000000,1.000000,node_expansions
Grid,Dijkstra,4,30,220.066667,6.464948,31.333333,1.000000,node_expansions
Grid,Dijkstra,6,30,495.366667,9.714194,47.333333,1.000000,node_expansions
Grid,Dijkstra,8,30,877.500000,9.171514,63.400000,1.000000,node_expansions
Grid,Dijkstra,10,30,1365.366667,13.491932,80.000000,1.000000,node_expansions
Grid,Dijkstra,12,30,1968.200000,17.375078,96.000000,1.000000,node_expansions
Grid,GBFS,4,30,37.166667,5.164516,34.133333,1.000000,node_expansions
Grid,GBFS,6,30,55.400000,3.702252,51.666667,1.000000,node_expansions
Grid,GBFS,8,30,78.600000,14.300583,71.533333,1.000000,node_expansions
Grid,GBFS,10,30,95.533333,9.955680,87.866667,1.000000,node_expansions
Grid,GBFS,12,30,114.600000,14.752627,106.133333,1.000000,node_expansions
Grid,IDA*,4,30,2081027.000000,0.000000,33.000000,0.033333,node_expansions
Grid,IDA*,6,30,3000000.000000,0.000000,0.000000,0.000000,node_expansions
Grid,IDA*,8,30,3000000.000000,0.000000,0.000000,0.000000,node_expansions
Grid,IDA*,10,30,3000000.000000,0.000000,0.000000,0.000000,node_expansions
Grid,IDA*,12,30,3000000.000000,0.000000,0.000000,0.000000,node_expansions
Grid,WA*(1.5),4,30,212.033333,13.871994,31.333333,1.000000,node_expansions
Grid,WA*(1.5),6,30,483.366667,23.169640,47.333333,1.000000,node_expansions
Grid,WA*(1.5),8,30,866.300000,20.743111,63.400000,1.000000,node_expansions
Grid,WA*(1.5),10,30,1354.200000,18.933920,80.000000,1.000000,node_expansions
Grid,WA*(1.5),12,30,1958.233333,26.070013,96.133333,1.000000,node_expansions
