domain,algorithm,beta_hat,beta_ci95_low,beta_ci95_high,alpha_hat,r2_train,mape_test,status
GameTree,AlphaBeta,0.727344,0.535876,0.918811,2.727219,0.999571,19.881217,ok
GameTree,MiniMax,1.000176,0.999039,1.001312,1.330926,1.000000,0.062636,ok
Grid,A*,0.251671,-0.067091,0.570433,55.848846,0.990161,60.692837,ok
Grid,BFS,0.247932,-0.064238,0.560103,58.453196,0.990276,58.200036,ok
Grid,Dijkstra,0.249432,-0.067529,0.566394,57.438545,0.990097,59.290264,ok
Grid,GBFS,0.135065,0.069745,0.200385,17.719790,0.998553,33.440322,ok
Grid,IDA*,,,,,,,excluded_saturated
Grid,WA*(1.5),0.253822,-0.064446,0.572090,54.019860,0.990355,61.367920,ok
MAPF,PrioritisedPlanning,0.193948,-0.698086,1.085983,8.739701,0.884152,8.393399,ok
PatternMatch,IDDFS,0.257490,-0.068700,0.583679,4377.208992,0.990158,62.508847,ok
PatternMatch,KMP,0.122503,-0.016847,0.261853,312.063641,0.992049,25.155387,ok
PatternMatch,Naive,0.122027,-0.016319,0.260374,301.072745,0.992101,25.112258,ok
