domain,algorithm,k_hat,k_ci95_low,k_ci95_high,c_hat,r2_train,mape_test,status
GameTree,AlphaBeta,5.774994,0.107872,11.442117,0.046537,0.994071,49.093134,ok
GameTree,MiniMax,7.925196,-1.944928,17.795319,0.005073,0.990484,69.455341,ok
Grid,A*,2.013678,1.973747,2.053610,13.290151,0.999998,0.756756,ok
Grid,BFS,1.983650,1.959018,2.008281,14.212577,0.999999,0.182829,ok
Grid,Dijkstra,1.995827,1.948050,2.043605,13.842600,0.999996,0.323352,ok
Grid,GBFS,1.074216,0.257707,1.890725,8.294229,0.996434,3.719688,ok
Grid,IDA*,,,,,,,excluded_saturated
Grid,WA*(1.5),2.030690,2.015921,2.045459,12.702552,1.000000,0.740337,ok
MAPF,PrioritisedPlanning,1.482221,-7.501731,10.466174,3.265795,0.814631,25.899948,ok
PatternMatch,IDDFS,2.060237,2.018924,2.101550,1007.617870,0.999998,0.720288,ok
PatternMatch,KMP,0.979208,0.873370,1.085045,155.415078,0.999928,0.139580,ok
PatternMatch,Naive,0.975375,0.866285,1.084465,150.355447,0.999923,0.119454,ok
